Author,Copyright,Creator
,,Adrian Camden
,,Adrian Camden
,,Adrian Camden
,,Adrian
,,Adrian
,,Adrian
,,Adrian
,,Adrian
,,Adrian
,,Adrian
,,Adrian
,,Adrian
,,Adrian Camden
,,Adrian Camden
,,Adrian Camden
,,Andrea Kozak
,,TeX
,,Andrea Kozak
root,,
,,cmlee
,,cmlee
,,openpyxl
,,Andrea Kozak
,,Adobe InDesign CC 13.1 (Windows)
Cody Witham,© 2021 Elsevier Inc. All rights reserved.,"Cody Witham, Yong Zhi Foo, Linda Jeffery, Nichola S. Burton, Gillian Rhodes"
Christopher J. Hand,© 2021 Published by Elsevier Ltd.,"Christopher J. Hand, Graham G. Scott"
"Kathryn V. Walter, Daniel Conroy-Beam, David M. Buss, Kelly Asao, Agnieszka Sorokowska, Piotr Sorokowski, Toivo Aavik, Grace Akello, Mohammad Madallh Alhabahba, Charlotte Alm, Naumana Amjad, Afifa Anjum, Chiemezie S. Atama, Derya Atamtürk Duyar, Richard Ayebare, Carlota Batres, Mons Bendixen, Aicha Bensafia, Boris Bizumic, Mahmoud Boussena, Marina Butovskaya, Seda Can, Katarzyna Cantarero, Antonin Carrier, Hakan Cetinkaya, Ilona Croy, Rosa María Cueto, Marcin Czub, Daria Dronova, Seda Dural, Izzet Duyar, Berna Ertugrul, Agustín Espinosa, Ignacio Estevan, Carla Sofia Esteves, Luxi Fang, Tomasz Frackowiak, Jorge Contreras Garduño, Karina Ugalde González, Farida Guemaz, Petra Gyuris, Mária Halamová, Iskra Herak, Marina Horvat, Ivana Hromatko, Chin-Ming Hui, Jas Laile Jaafar, Feng Jiang, Konstantinos Kafetsios, Tina Kavčič, Leif Edward Ottesen Kennair, Nicolas Kervyn, Truong Thi Khanh Ha, Imran Ahmed Khilji, Nils C. Köbis, Hoang Moc Lan, András Láng, Georgina R. Lennard, Ernesto León, Torun Lindholm, Trinh Thi Linh, Giulia Lopez, Nguyen Van Luot, Alvaro Mailhos, Zoi Manesi, Rocio Martinez, Sarah L. McKerchar, Norbert Meskó, Girishwar Misra, Conal Monaghan, Emanuel C. Mora, Alba Moya-Garófano, Bojan Musil, Jean Carlos Natividade, Agnieszka Niemczyk, George Nizharadze, Elisabeth Oberzaucher, Anna Oleszkiewicz, Mohd Sofian Omar-Fauzee, Ike E. Onyishi, Baris Özener, Ariela Francesca Pagani, Vilmante Pakalniskiene, Miriam Parise, Farid Pazhoohi, Annette Pisanski, Katarzyna Pisanski, Edna Ponciano, Camelia Popa, Pavol Prokop, Muhammad Rizwan, Mario Sainz, Svjetlana Salkičević, Ruta Sargautyte, Ivan Sarmány-Schuller, Susanne Schmehl, Shivantika Sharad, Razi Sultan Siddiqui, Franco Simonetti, Stanislava Yordanova Stoyanova, Meri Tadinac, Marco Antonio Correa Varella, Christin-Melanie Vauclair, Luis Diego Vega, Dwi Ajeng Widarini, Gyesook Yoo, Marta Zat’ková, and Maja Zupančič",,Adobe InDesign CS5.5 (7.5)
David M.G. Lewis,© 2021 Published by Elsevier Inc.,"David M.G. Lewis, Laith Al-Shawaf, Ayten Yesim Semchenko, Kortnee C. Evans"
Patrick K. Durkee,© 2019 Elsevier Inc. All rights reserved.,"Patrick K. Durkee, Aaron W. Lukaszewski, David M. Buss"
"Jeffrey A. Hall, Chong Xing, and Seth Brooks",,Adobe InDesign CS5.5 (7.5)
,,Tara DeLecce
,,Tara DeLecce
,,Andrew M. Holub
,,Tara DeLecce
,,Tara DeLecce
,,Tara DeLecce
"""Roomal Seferaj""",,
,,Relais Articlizer
,,Un-named
